,title,company.display_name,created,location.display_name,salary_max,salary_min,category.label
4442,Javascript Developer,Track24,2025-09-06T00:35:08Z,"Finsbury, Central London",60000.0,60000.0,IT Jobs
4443,Javascript Developer,Lloyds Bank,2025-08-31T17:44:01Z,UK,58410.0,47790.0,IT Jobs
4444,JavaScript Developer,Sellick Partnership,2025-09-04T14:19:06Z,"Newcastle Upon Tyne, Tyne & Wear",55000.0,48000.0,IT Jobs
4445,Senior Full Stack JavaScript Developer,83zero,2025-09-06T11:37:56Z,"The City, Central London",66045.53,66045.53,IT Jobs
4446,Java with Javascript Developer - Financial Systems - East London (IT),Nexus Jobs Limited,2025-08-13T14:20:29Z,"London, UK",55000.0,55000.0,IT Jobs
4447,Front End Javascript Developer with Agile – Brighton Sussex (IT),Nexus Jobs Limited,2025-08-13T14:20:29Z,"Brighton, East Sussex",300.0,300.0,IT Jobs
4448,Fullstack Javascript Developer,83zero Limited,2025-09-05T02:09:21Z,"Fleet Street, Central London",70000.0,65000.0,IT Jobs
4449,Experienced JavaScript Developer,Rebellion,2025-04-09T12:43:51Z,"Oxford, Oxfordshire",34816.13,34816.13,IT Jobs
4450,Senior JavaScript Developer,Lloyds Bank,2025-08-31T17:47:43Z,UK,58267.19,58267.19,IT Jobs
4451,Fullstack Javascript Developer,83zero Ltd,2025-09-04T23:10:29Z,"London, UK",70000.0,65000.0,IT Jobs
4452,Fullstack Javascript Developer,83zero Limited,2025-09-05T03:10:02Z,"Central London, London",70000.0,70000.0,IT Jobs
4453,Senior JavaScript Developer,Monterosa,2025-07-18T11:49:27Z,UK,48611.46,48611.46,IT Jobs
4454,NodeJS and JavaScript Developer,Infosys,2025-05-22T08:54:34Z,UK,47346.37,47346.37,IT Jobs
4455,Senior Fullstack Javascript Developer,83zero Limited,2025-09-05T02:09:21Z,"Fleet Street, Central London",82000.0,71000.0,IT Jobs
4456,JavaScript Developer - Expression of Interest,Cambridge Intelligence,2025-06-09T13:03:31Z,"Cambridge, Cambridgeshire",45869.72,45869.72,IT Jobs
4457,Senior Fullstack Javascript Developer,83zero Ltd,2025-09-04T17:11:53Z,"London, UK",82000.0,71000.0,IT Jobs
4458,JavaScript Developer - Hybrid Remote,Vertech Group  Ltd,2025-08-29T22:30:46Z,"Lower Holloway, North London",80000.0,65000.0,IT Jobs
4459,Senior Fullstack Javascript Developer,83zero Limited,2025-09-05T03:10:39Z,"Central London, London",80000.0,80000.0,IT Jobs
4460,JavaScript Developer - Hybrid (Manchester ),Circle Group,2025-08-20T13:27:38Z,"Manchester, Greater Manchester",40000.0,40000.0,IT Jobs
4461,Full-Stack Javascript Developer – Central London (IT),Nexus Jobs Limited,2025-08-13T14:20:32Z,"London, UK",44198.56,44198.56,IT Jobs
4462,Javascript Developer,Track24,2025-09-06T00:35:08Z,"Finsbury, Central London",60000.0,60000.0,IT Jobs
4463,Javascript Developer,Lloyds Bank,2025-08-31T17:44:01Z,UK,58410.0,47790.0,IT Jobs
4464,JavaScript Developer,Sellick Partnership,2025-09-04T14:19:06Z,"Newcastle Upon Tyne, Tyne & Wear",55000.0,48000.0,IT Jobs
4465,Senior Full Stack JavaScript Developer,83zero,2025-09-06T11:37:56Z,"The City, Central London",66045.53,66045.53,IT Jobs
4466,Java with Javascript Developer - Financial Systems - East London (IT),Nexus Jobs Limited,2025-08-13T14:20:29Z,"London, UK",55000.0,55000.0,IT Jobs
4467,Front End Javascript Developer with Agile – Brighton Sussex (IT),Nexus Jobs Limited,2025-08-13T14:20:29Z,"Brighton, East Sussex",300.0,300.0,IT Jobs
4468,Fullstack Javascript Developer,83zero Limited,2025-09-05T02:09:21Z,"Fleet Street, Central London",70000.0,65000.0,IT Jobs
4469,Experienced JavaScript Developer,Rebellion,2025-04-09T12:43:51Z,"Oxford, Oxfordshire",34816.13,34816.13,IT Jobs
4470,Senior JavaScript Developer,Lloyds Bank,2025-08-31T17:47:43Z,UK,58267.19,58267.19,IT Jobs
4471,Fullstack Javascript Developer,83zero Ltd,2025-09-04T23:10:29Z,"London, UK",70000.0,65000.0,IT Jobs
4472,Fullstack Javascript Developer,83zero Limited,2025-09-05T03:10:02Z,"Central London, London",70000.0,70000.0,IT Jobs
